id,start,end,computed,needs_recompute,num_retplayers,num_newplayers,num_games,dom_p,dom_t,dom_z
176,2016-11-10,2016-11-23,t,f,577,30,2422,0.919419503789561,1.07989633387892,1.00068416233152
177,2016-11-24,2016-12-07,t,f,491,24,2641,0.936167474987962,1.09121652721419,0.972615997797852
178,2016-12-08,2016-12-21,t,f,606,58,2978,0.909263937471615,1.11201436273931,0.978721699789071
179,2016-12-22,2017-01-04,t,f,296,11,965,0.898342717067584,1.10200593419233,0.999651348740091
180,2017-01-05,2017-01-18,t,f,570,29,2959,0.881646315428111,1.14607356003978,0.972280124532107
43,2011-10-06,2011-10-19,t,f,439,38,2366,0.875592305772379,1.11230550749328,1.01210218673434
181,2017-01-19,2017-02-01,t,f,572,30,3139,0.925546768283529,1.11993212972879,0.954521101987679
182,2017-02-02,2017-02-15,t,f,588,58,3354,0.955491272272607,1.12347241459175,0.921036313135641
225,2018-09-27,2018-10-10,t,f,502,80,2996,0.855018696671374,1.0495956794243,1.09538562390433
232,2019-01-03,2019-01-16,t,f,554,94,3185,0.885039859931701,1.0583110380649,1.0566491020034
234,2019-01-31,2019-02-13,t,f,470,61,2738,0.900494095445078,1.06717403802464,1.03233186653028
235,2019-02-14,2019-02-27,t,f,449,60,2583,0.877424342545064,1.07231530284841,1.05026035460652
239,2019-04-11,2019-04-24,t,f,647,92,4752,0.904753751709163,1.02232058577727,1.07292566251357
16,2010-09-23,2010-10-06,t,f,235,133,1087,1.04137587270471,1.01414738417916,0.944476743116126
17,2010-10-07,2010-10-20,t,f,280,144,1536,1.02756928440518,1.02521299617572,0.947217719419097
26,2011-02-10,2011-02-23,t,f,334,79,1789,0.942744719349278,1.105536686871,0.951718593779725
19,2010-11-04,2010-11-17,t,f,327,183,1602,0.978693230380022,1.0268566545938,0.994450115026175
20,2010-11-18,2010-12-01,t,f,290,74,1294,0.972312036787377,1.02593973465335,1.00174822855927
21,2010-12-02,2010-12-15,t,f,287,60,1522,0.976474326498082,1.01518703102203,1.00833864247989
27,2011-02-24,2011-03-09,t,f,332,51,1606,0.935736574957441,1.1071795206782,0.957083904364362
22,2010-12-16,2010-12-29,t,f,191,51,926,0.994292381114017,1.01939424832874,0.986313370557241
24,2011-01-13,2011-01-26,t,f,352,55,1771,0.948169861605497,1.12232553938358,0.929504599010922
25,2011-01-27,2011-02-09,t,f,339,72,1557,0.927386358794741,1.12822007043865,0.944393570766613
88,2013-06-27,2013-07-10,t,f,869,103,4952,0.949479084051716,1.06498803788778,0.985532878060505
104,2014-02-06,2014-02-19,t,f,526,40,2336,1.0507753741106,1.05527144213494,0.893953183754461
105,2014-02-20,2014-03-05,t,f,569,72,2189,1.04711579543673,1.06039965450945,0.892484550053826
106,2014-03-06,2014-03-19,t,f,460,22,1679,1.05972299402507,1.04274272211519,0.897534283859743
109,2014-04-17,2014-04-30,t,f,662,28,3782,1.03102649371132,1.05012103145818,0.918852474830495
120,2014-09-18,2014-10-01,t,f,746,30,3840,0.98042628516153,1.02676002020834,0.992813694630134
121,2014-10-02,2014-10-15,t,f,625,34,3312,0.972802790400787,1.02463156497275,1.00256564462647
122,2014-10-16,2014-10-29,t,f,619,41,3844,0.984241837641984,1.00730739166839,1.00845077068962
28,2011-03-10,2011-03-23,t,f,346,79,1841,0.942845553515235,1.10281379776622,0.954340648718545
29,2011-03-24,2011-04-06,t,f,379,107,2049,0.981524938113713,1.08475135954225,0.933723702344038
30,2011-04-07,2011-04-20,t,f,345,38,1276,0.98664296476724,1.08409753474624,0.929259500486523
38,2011-07-28,2011-08-10,t,f,594,107,3154,0.934364817267092,1.08429874162819,0.981336441104714
242,2019-05-23,2019-06-05,t,f,523,90,3952,0.905550577238126,0.995902555126006,1.09854686763587
241,2019-05-09,2019-05-22,t,f,431,38,2552,0.905142963406573,0.995301548679623,1.0995554879138
221,2018-08-02,2018-08-15,t,f,532,61,2880,0.883590329272286,1.04101123910571,1.07539843162201
222,2018-08-16,2018-08-29,t,f,626,86,2905,0.886628603861292,1.03450236986153,1.07886902627718
